"( S) Saksa","Sáksi"
"vanhentua","boarásmuvvat, boarásmit ~ boarásmuvvat ~ boarásnuvvat"
"vanhentua, kulua (vaatteesta tms.); vanhettua (ihmisestä)","oamásmuvvat"
"vanhentua, vanheta","boarásmit"
"vanhentua, vanheta","boarásmuvvat"
"vanhentua, vanheta, kulua (vaatteesta tms.); vanhettua (ihmisestä)","oamásmit"
"vanhentuminen","boarásnuvvan"
"vanhentumisaika","boarásmuvvanáigi, "
"vanheta","boarásmit ~ boarásmuvvat ~ boarásnuvvat"
"vanhin","-epmo- ~ boarrasamos; (seurakunnan) vanhimmat (pl.) vuorrasat (pl.), boarráseamos"
"vanhurskas","vánhurskkis, -rská-"
"vanhurskas; oikeamielinen, oikeudenmukainen","vánhurskkis"
"vanhurskaus","vánhurskkisvuohta"
"vanhus","boaran"
"vanhus","vuoras, boaran, -rr-, boares olmmoš"
"vanhustentalo","boarrásiiddállu"
"vanhuudenheikko","geahnoheapme, geahnoh/eapme (-is)"
"vanhuus","boarisvuohta"
"vanhuuseläke","boarisvuođaealáhat, boarrásiidruhta, boarisvuođa ealáhat"
"vanilja","vanilljá"
"vankeinhoito","fáŋgaiddikšun"
"vankeinhoitojärjestelmä","fáŋggaiddikšunortnet"
"vankentaa","nanosmahttit ~ nanusmahttit, nanosmahttit"
"vankentua","nanosmit ~ nanosmuvvat ~ nanusmuvvat, nanosmuvvat"
"vankeus","fáŋgavuohta"
"vankeus","giddagas, fáŋgavuohta, (N) giddagas"
"vankeus; vankila","giddagas"
"vankeusaika","fáŋgavuođaáigi"
"vankeusrangaistus","fáŋgavuohtaráŋggáštus, (N) giddagasráŋggáštus, fáŋgalráŋggáštus, giddagasráŋggáštus, fáŋgavuođaráŋggáštus"
"vankeustuomio","giddagasduopmu, , čohkkánduopmu, čáhci ja láibi"
"vanki","fáŋga"
"vankila (N)","=, (linna) ladni, (S) fáŋgal, giddagas"
"vankila","fáŋgal"
"vankila","fáŋgal, , giddagas; ladni, giddagas, duktahuse"
"vankimielisairaala","fáŋgamiellabuohcceviessu"
"vankipassi","fáŋgapássa"
"vankka","nanus, -nno-#nana ~ nanu, váf/i (-es), váŋká/i (-s), rohppá/i (-s)"
"vankka","váŋká"
"vankka","váŋkái"
"vankkumaton, vahva (pitämään puolensa)","bihttil"
"vankkumaton, vahva (vastustamaan)","bihtálas"
"vannas (veneessä)","stávdni"
"vannas, keulapuu, kokkapuu (veneessä)","stávdni"
"vanne","gierdu; varustaa vanteella gierdudit, gierdu"
"vanne; ympyrä","gierdu"
"vanneaines","gierddus"
"vannehtia","girdodit"
"vannehtia, varustaa vanteella","gierdudit"
"vannoa (jtak)","váli ~ vuordnása dahkat (+ala), vuordnut (+akk.)"
"vannoa","váli ~ vuordnása dahkat, vuordnut"
"vannoa","vuordnut"
"vannomisvelvollinen","vuordnungeatnegas"
"vannottaa (vala)","(painostaa jkta) vuortnuhit, vuortnuhit, vuortnuhit; (painostaa jotakuta) vuortnohit"
"vannottaa vala (useilla todistajilla)","vuortnuhallat"
"vannottaa vala; painostaa (jkta), vaatia (jkta) lupaamaan jtak, tiukata (jklta jtk), kiristää (jkta, jklta jtk), ahdistella (jkta jllak asialla)","vuortnuhit"
"vannottaa","vuortnuhit"
"vänrikki (mil.)","feanrihkka"
"vänrikki","fenrihkka"
"vantaan, kokkapuun veneen ulkopuolella näkyvä osa","bárdi"
"vanttera","olla jossakin vantterana smoggát, smo/kkas (-gge-); kulkea vantterana smoggut, hárd/ui (-os)"
"vantus","fáhcca"
"vanu","bupmol"
"vanua","dumssagit"
"vanukas","puddiŋ'ŋa"
"vanunut, vanuttuva","dumssas"
"vanuttaa (kangasta)","duhppet, (sarkaa potkimalla) čiekčat, (vähän) čievččastit"
"vanuttua (kankaasta)","duohpašuvvat"
"vanuttua","duohpašuvvat"
"vanuttua, kutistua","duohpašuvvat"
"vanuttuva","dums/sas (-o-), dums/ui (-os)"
"vanuttuva","dumsui"
"vapa","stággu"
"vapaa ja täysi suostumus","eaktodáhtolaš ja ollislaš miehtan"
"vapaa tahto","eaktodáhtolaš miehtan"
"vapaa","friija"
"vapaa","luomus, friddja ~ friija (taipum.), (luontoon, -upmo-#luomos, bođu-, vapaa mitta (runossa) luomos garga, (eläimestä) veaiddalassii ~ veaittalassii, vapaaksi vapaana friddja ~ friija, luđolaš, luonnossa) luhtui, luođus, friddja ~ friija; luom/us (-os)"
"vapaa-aika","asttuáigi, astoáigi, astu, bođuáigi, bođuáigi; vapaa-ajan toiminta astoáiggedoaibma"
"vapaaehtoinen","eaktodáhtolaš"
"vapaaehtoisesti","eaktodáhtos"
"vapaaehtoisuus","eaktodáhttu, eaktodáhtolašvuohta"
"vapaamielinen","liberála"
"vapaamuotoinen","miellahápmásaš, friddjahápmásaš, friijahápmásaš"
"vapaana","friddja"
"vapaapäivä","astobeaivi, friddjabeaivi, friddjabeaivi"
"vapaapotku (jalkapallossa)","friddjačievččasteapmi"
"vapaasti valittavat opinnot","friddjaválljenoahput"
"vapaasti","lupmosit, friddja ~ friija, lupmosit"
"vapahdus (rel.)","bestojupmi"
"vapahtaa (rel.)","beastit"
"vapahtaa","beastit"
"vapahtaja","beasti, Vapahtaja Beasti, ="
"väpättää","libardit, sparkit ~ spargit"
"väpättää","vabaidit"
"väpättävä, liehuva","šlivge-"
"vapaudenrajoitus","friddjavuođaráddjehus"
"vapaudenriisto","friddjavuođarivven"
"vapaus pelosta","balus friddjavuohta"
"vapaus puutteesta","heađis friddjavuohta"
"vapaus","duohtatmeahttunvuohta, friddjavuohta, luomusvuohta, luđolašvuohta, friddjavuohta ~ friijavuohta"
"vapaus","friddjavuohta"
"vapaussota","friddjavuođa- ~ friijavuođasoahti, friddjavuođasoahti, luomusvuođasoahti, iešmearridansoahti"
"vapauttaa","friddjandahkat; beastit, beastit, luoitit luovus, friddjet, (esine) bođ'đet, on vapautettu pitämästä beassá doallamis, luoitit"
"vapauttaja","beasti, ="
"vapauttamisaika","beassanáigi, luoitináigi"
"vapauttava",", friddjadahtti"
"vapautua (jostakin)","luomusmuvvat, beassat"
"vapautua (jstak)","luomusmuvvat ~ luomusnuvvat, , beassat"
"vapautua syytteestä","áššehuvvat"
"vapautunut (rento)","lotkat:d#lotkes"
"vapautus (vapauttaminen)","beastin:m, luoitin:m; (esineen) bođ'đen:m; (vapautuminen) bestojupmi, luoitin, beastin"
"vapautus",", friddjavuohta"
"vapista (ruumiista tai sen osista)","náiggistit"
"vapista (tunteenkuohusta)","daraidit"
"vapista","doarggistit, dahrrat, ruumiista tai sen osista) náiggistit, livzzistit; (tunnekuohusta) darrat, naiggistit, alkaa vapista dorggiidit, livzzistit, daraidit, (vähän, dahrat, dahraidit; alkaa vapista dorggiidit, náiggistit, vapista tunteenkuohusta darrat"
"vapista, täristä; kauhistella (jtak)","soaigit"
"vappu","válbor"
"vappupäivä","válborbeaivi"
"vappuviikko","válborvahkku"
"vapunaatto","válborruohtta"
"vara (jhk)","várri"
"vara (jhonk)","mii eat suitte oastit, olla varaa (jhonk) suitit (+akk., = varallisuus) várit (pl.), várri, juolludit, (tehdä jtak) munni, ráđđi, minulla ei ole varaa myydä sitä mun in juollut vuovdit dan; vara- várre-, varat (pl., meillä ei ole varaa ostaa mis ii leat várri ~ ráđđi oastit, meillä ei ole varaa siihen mis ii leat várri dasa, +inf.), liige, mii eat suitte dan"
"vara (johonkin)","ráđđi; olla varaa (tehdä jotakin) suitit (+ inf., liige-; (varat, várri, varallisuus) várit, akk.), minulla ei ole varaa lähteä sinne in suitte vuolgit dohko; vara- várre-"
"vara, (pystyä maksamaan)","doarvái várri"
"vara- (varalla oleva)","várre; varapuheenjohtaja várreságadoal'li"
"varaan (postp.)","oskálii, ala, vehkii"
"varaan","nala ~ ala, otin velan veljeni varaan válden vealggi vielljan oskálii, jalkojen varaan heŋgii julggiid duohkái, nipusti jaloista, huonon ruoan varaan heajos borramušaid ala, vehkii, pöytä jäi kolmen jalan varaan beavdi bázii golmma juolggi vehkii, (riippuvasta) duohkai"
"varaan; veagas: varassa","vehkii"
"värähdellä","sparkit ~ spargit, spažaidit, sparrat ~ spahrrat, sparaidit"
"värähdellä, nykiä (lihaksista); räpistellä, räpsyä (siivistä)","rabaidit"
"värähdellä, väristä","sparrat"
"värähdellä, väristä","spažaidit"
"värähdys","spažáhus"
"värähtää","spažihit"
"värähtely","sparran:m ~ spahrran:m, sparkin:m ~ spargin:m, sparaideapmi"
"värähtely, värinä","sparra"
"värähtelytaajuus","spažaidandávjodat"
"varainhoito","váriiddikšun"
"varainhoitovuosi",", bušeahttajahki"
"varainsiirtovero","váriidsirdinvearru"
"varainsiirtoverolaki","váriidsirdinvearroláhka"
"varajäsen","várrelahttu"
"varakas","jábálaš, boandái varalla várás, heađeh/eapme (-is), on varalla lea várás; várreolmmožin, várálaš, buresbirgejeaddji, buorredilálaš, boandá/i (-s)"
"varakas","várˈrái"
"varakas, vauras","boandái"
"varakas, vauras","várálaš"
"varalle","jäi varalle bázii várás; várreolmmožin, várás"
"varallisuudensiirto",", váriidsirdin"
"varallisuus",", opmodat, várri, oamastusat (pl.), ráđđi, várit (pl.), opmodat"
"varallisuusarvoinen","mas"
"varallisuusoikeudellinen","opmodatvuoigatvuođalaš"
"varallisuusoikeus","opmodatvuoigatvuohta"
"varallisuusolot (pl.)","dilli ruhtaváriid ja opmodaga dáfus"
"varallisuustiedot","dieđut"
"varallisuusverolaki","opmodatvearroláhka"
"varalta","siltä varalta dan várás, kaiken varalta várás, várás"
"varalta","vári"
"varamies","várreolmmoš, , várreolmmái, -lbm-:Ø"
"varankilainen","várjjagaš"
"varaosa","várreoassi"
"varapresidentti","várrepresideanta"
"varapuheenjohtaja",", nubbi ovdaolmmoš, várreságadoalli, várreságadoal'li, =, várreovdaolmmoš"
"varapuhemies",", várrehupmanolmmái"
"vararahasto","várreruhtarádju, researvaruđat (pl.), researvaruđat (pl.)"
"vararehtori","várrerektor"
"vararikko","konkursa, nallasit, panna vararikkoon goŋkehit, mannat konkursii, goŋkánit, goŋkáneapmi ~ goŋgáneapmi; mennä vararikkoon reastaluvvat, konkursa, (saattaa vararikkoon) reastaluhttit, buksaluvvat, goŋkehit ~ goŋgehit, reastaluvvan, goŋkánit ~ goŋgánit, mennä vararikkoon reastaluvvat"
"varas","guhkesgiehta, liŋká; menettää varkaalle suoládahttit, suoladiŋga, -ll-:g, suola, snuohtar, skealbma; (näpistelijä) boimmon, skuolká, suolagazza, doahpánas, menettää varkaalle suoládahttit, syyttää varkaaksi suollagahttit (ks. porovaras), syyttää varkaaksi suollagahttit"
"varas, voro","suola"
"varaslähtö","suoládeapmi, otti varaslähdön suoládii vuolgit"
"varassa (postp.)","veagas; pöytä huojuu kolmen jalan varassa beavdi juovzu golmma juolggi veagas, elää korkotulojensa varassa eallit reantoboađuidis veagas"
"varassa","veagas, jalkojen varassa dat heaŋgá julggiid duohken, nalde ~ alde, (nippuvasta) duohken, huonon ruoan varassa heajos borramušaid alde se riippuu jaloista, pöytä on kolmen jalan varassa beavdi lea golmma juolggi veagas"
"varastaa","jávkadit, snuohtardit; tulla varastetuksi suoláduvvat; (poroja) speadjat (ks. näpistellä; vohkia; kähveltää), varastettu suola-, suoláduv'von, suoládit, panna tai saada varastamaan suoládahttit"
"varastaa","suoládit"
"varastaminen","suoládeapmi"
"varasteleva","faskár"
"varasteleva","suoládahkes, -hkká-(:Ø)"
"varastelevainen","suola-; váldálas, suoládahkes, boibmolas, doahpánas, dohpolas"
"varastelevainen","suoládahkes"
"varastella","suoládaddat"
"varasteluhalu","suolavuohta"
"varasteluhalu; varkaus","suolavuohta"
"varastettu","suola-; varastettu poro suolaboazu, suoláduv'von"
"varasto","rádju, rádju, vuorká, (rakennus) áiti"
"varasto, säilö; korjuu; myötäjäiset (pl.)","rádju"
"varastoarvo","rádjoárvu"
"varastoida","rádjat, vurket, vurket, vuorkut, rájadit, vurkkodit, vuorkut"
"varastointi","vuorkun:m, vuorkun"
"varastoitua","duksanit"
"varastus, varkaus","suoládeapmi"
"varastuttaa","suoládahttit"
"varastuttaa, menettää varkaalle","suoláduhttit"
"varastuttaa, menettää varkaalle; panna tai saada varastamaan","suoládahttit"
"varata (hirttä)","várát"
"varata","várret, váraštit ~ váreštit, varattu (jolla ei ole aikaa) diliheapme, vár'ret"
"varata; varautua, varoa; kehottaa luopumaan, varoittaa (jstak)","várˈret"
"varatilintarkastaja","várreruhtadoallodárkkisteaddji"
"varatoimitusjohtaja","várredoaimmajođiheaddji"
"varaton",", váreh/eapme (-is); tulla varattomaksi várehuvvat, hatteheapme, váreheapme"
"varaton","váreheapme"
"varattomuus",", hattehisvuohta"
"varattomuustodistus","hattehisvuođaduođaštus, "
"varatuomari","várreduopmár"
"varaukseton","vár'rekeahtes (attr.), vár'rekeahtes (attr.), eavttoheapme"
"varauksetta","vár'rekeahttá, eavttoheamet, eavttuid haga, vár'rekeahttá"
"varauma","várrehus, várren"
"varaus","vár'rehus, eaktu, vár'rehus, reservašuvdna"
"varausilmoitus","várrenalmmuhus"
"varautua (johonkin)","ráhkkanit; (vähin erin) ráhkkanaddat"
"varautua","(jhonk) ráhkkanit, vár'ret"
"varavaate","-ls-:g, varavaatteet (pl.) molssabiktasat (pl.), molssa, molssa; varavaatteet (pl.) molssabiktasat (pl.)"
"várddobáiki: näköalapaikka","várddo-"
"väre","-ll-, galbma bárru, kylmä väre buolaš"
"väreillä (kuuman ilman vuoksi)","dalˈlodit"
"väreillä","spahrrat, (vedestä ennen kiehumista) saŋgat, libardit, saiget, (väristä) spahčat"
"väreillä, väpättää","spahrrat, sparrat, vabaidit, libardit, spahčat, spažaidit, sparaidit, libaidit"
"varhain","árrat"
"varhainen","árr/at (-a), árrat:d#árra- ~ ára"
"varhaiseläke","árraealáhat, R), árrapenšuvdna (N, árraealáhat (S)"
"varhaisempi","árat:bu, árat"
"varhaisimmin","áramusat"
"varhaisin","áramus"
"varhaisintaan","áramustá"
"varhaiskasvatus","árravuohtapedagogihkka"
"varhaislapsuus","varhaislapsuudesta lähtien un'nivuođa rájes ~ uhccivuođa rájes, uhccivuohta, un'nivuohta ~ uhccivuohta, un'nivuohta; varhaislapsuudesta lähtien uhccivuođa ~ un'nivuođa rájes"
"varhaissyksy","álgočakča, árračakča, áračakča"
"varhaisuutiset (pl.)","iđitođđasat (pl.)"
"varhaisvaihe","árramuddu"
"varhemmin","(vähän) árabuš, árabut; (vähän) árabuš, árat"
"varhempi","siirtää varhemmaksi áradit, árat:bu, árat; siirtää varhemmaksi áradit"
"varhennusvähennys","áradangeahpádus"
"varhentaa","varhennettu áraduv'von, áradit"
"varhentua","árranit"
"varheta","árranit"
"varheta, aikaistua","árasmuvvat"
"varheta, varhentua, aikaistua","árasmit"
"varhimmin","áramus, áramusat"
"väri (värjäykseen), maali","báidnu"
"väri","fearga, väri (värjäykseen) báidnu, päästää väriä (esim. vaatekappaleesta sateessa) gilggodit, ivdni, väriä päästävä báinna-"
"väri, maali","fearga"
"väri; sävy","ivdni"
"variaabeli","molsašuddi, variábel, ="
"variaatio","molsašuddan, variašuvdna, molsašuddan:m"
"variaattori","variáhtor"
"värikalvo (filmin)","ivdnecuozza"
"värikalvo","(filmin) ivdnecuozza, hearvacuozza"
"värikäs (monivivahteinen)","girjá/i (-s)"
"värikäs","ivdnái, girjái"
"varikko","rádju"
"värikkyys","ivdnáivuohta, girjáivuohta"
"variksenmarja (pohjanvariksenmarja)","čáhppesmuorji"
"variksenmarja","vuoražasmuorji"
"variksenmarja","vuorčámuorji"
"variksenmarja","vuorčámuorji, čáhppesmuorji, vuoražasmuorji"
"värikuva","ivdnegovva, feargagovva"
"värikynä","ivdnepean'na, feargalbean'na ~ -pean'na, ivdnelbean'na ~ -pean'na"
"värillinen","ivdnejuv'von, ivdná/i (-s), ivdnái, ivdne-"
"värinä","gaskaseaidni"
"värinä, tutina","spahča"
"värinauha","ivdnebáddi"
"värinpitävä","gilggotmeahttun:m, báidnemeahttun:m"
"varioida","molssodit, varieret"
"varis","vuoražas"
"varis","vuoražas, -rčá-, vuorččis, mearragarjá (R), Vuoražas, gáranas"
"varis","vuorččis"
"värisävy","-iv-:n, ivdnesuoivva"
"värisokeus","ivdnečuovggahisvuohta"
"varista (karvanahasta, havupuista tms.)","botkkistit, (alkaa varista) botkkiidit"
"väristä (vähän aikaa)","spahčalit"
"varista","botkkistit; alkaa varista botkkiidit"
"väristä","spargit, sparrat, libaidit, libardit, libardit, spahčat, sparaidit, libaidit"
"väristä, vipattaa","sparaidit"
"varistaa (lehti puista, tuulesta)","seallat"
"varistaa","botkalit, gávgalit"
"värisyttää","sparahit, spargguhit, sparkkuhit ~ spargguhit, sparaidahttit, spažahit"
"värisyttää","spargguhit"
"väritön","fearggahuvvat, ivnneh/eapme (-is), fearggah/eapme (-is); muuttua värittömäksi ivnnehuvvat, ivnneheapme, fearggaheapme"
"väritön; kalvakka","ivnneheapme"
"värittää","ivdnet, ferget"
"värjäillä (verkkoja)","cizašit"
"värjäillä, sävytellä","báinnašit"
"värjätä (vähän); painaa, vaikuttaa (vähän)","báinnestit"
"värjätä mustaksi, mustata","čáhpodahttit"
"värjätä","värjäävä báinna-, soveltua värjättäväksi háinnihit, värjäävä báinna, (verkkoa) cihcat, báidnit; soveltua värjättäväksi báinnihit, ferget, báidnit (+akk.). ivdnet"
"värjätä, painaa (jtak), päästää väriä, tartuttaa (makua, väriä jhk), sävyttää (jtak), vaikuttaa (mielipiteeseen, ulkonäköön)","báidnit"
"värjätä, värittää","ferget"
"värjäysaine","báidnu, -idn-:g, háinna, báinna, báidnu"
"värjäysaine","báinna"
"värjäyttää (verkko); soveltua värjättäväksi (verkko)","cizihit"
"värjäyttää","báinnihit"
"värjäyttää; soveltua värjättäväksi","báinnihit"
"värjäytyä","báidnašuvvat"
"värjäytyä, sävyttyä, painua","báidnašuvvat"
"varjella (jtak jstak)","gáhttet, +lok.), (jtak) vára váldit (juogamas), várjalit (+akk."
"varjella","bealuštit, gádjalit, gáhttet, várjalit"
"varjella","gádjalit"
"varjella","várjalit"
"varjella, hoitaa, vaalia","ávjat"
"varjelu","gádjalus"
"varjelus","várjalus"
"varjo","bearjjas, -iv-:n; (suoja) suodji, suoivva ~ suoivvan, suoivvan ~ suoivva(n), -rj-"
"varjo","suoivva"
"varjo(paikka), katve; pimento","itku"
"varjoisa","suoivva-, itkkus, itku-, suoivva, -tko-"
"varjokasvi","itkošaddu"
"varjokato","geamádat"
"varjopaikka","itkkus, itku, -tko-"
"varjopaikka, varjoisa","itkkus"
"varjostaa","suoivanastit, suivet, suoivvanastit ~ suoivanastit"
"varjostaa, varjottaa","suoivanastit"
"varjostaa, varjottaa, olla (jkun) valon edessä","seavnnjuhit"
"varjostin","šearbma, suojus, -udjo-"
"värjötellä, värjöttää","goatnahit"
"värjöttää (kylmissään)","goadnahit, goadnát"
"värjöttää","goadnát"
"varjottaa","suoivvanastit ~ suoivanastit"
"värjöttää, kärvistellä, kyyhöttää (kylmissään)","goadnát"
"varkain","suoli"
"varkaus","suolavuohta"
"varkausjuttu","suolaášši"
"varkausvakuutus","suoládanoadju"
"värkki","vearki, ráhkkanus"
"värkki, vekotin","vearki"
"varma","-nno-#nana ~ nanu, sihkkar (-is), -hkk-#-is ~ sihkkar# -is, nanus, sihkar, -s'sá(:Ø), (kuolemasta tms.) čabu (attr.), mennä varmaan kuolemaan čabu sorbmái mannat, vissis"
"varma","sihkkar"
"varma, tietty","vissis"
"varma, vakaa","aseesta) virtt/is (-es); tulla varmemmaksi, vakaammaksi virttásmuvvat, (kädestä"
"varmaan (varmaankin)","vis'sa, vis'sásit ~ vis'sásii; ammahal, várra"
"varmaan","galahan, vis'sásii ~ vis'sásit, kyllä varmaan de vis'sa, vis'sa"
"varmaan","visˈsa"
"varmaankin","vis'sá, várra"
"varmasti","sihkkarit, vis'sát, olles mihtu mielde, täysin varmasti áibbas sihkkarit, vis'sásit, vis'sásit ~ vis'sásii, nannosit"
"varmasti","visˈsát"
"varmasti, varmaan","visˈsásii"
"varmasti, varmaan","visˈsásit"
"varmentaa","nan'net"
"varmentamaton","nannetkeahtes"
"varmentua, tulla vakaammaksi, varmemmaksi (kädestä, aseesta), tarkentua, tulla tarkemmaksi (aseesta)","virttásmit"
"varmentua, tulla vakaammaksi, varmemmaksi (kädestä, aseesta), tarkentua, tulla tarkemmaksi (aseesta)","virttásmuvvat"
"varmistaa",", nan'net, sihkkarastit, nanudit, sihkkaruššat"
"varmistaa","nanustit"
"varmistaa","sihkkarastit"
"varmistautua","oažžut sihkarvuođa, oažžut sihkkarvuođa"
"varmistua","sihkkarmuvvat"
"varmistua, osoittaa","oažžut sihkkarvuođa"
"varmuus","fásta, vis'sásit, varmuudella sihkkarit, sihkkarvuohta, sihkarvuohta ~ sihkkarvuohta"
"varmuuskopio","-ildo-, várremielddus, =, sihkkarastinkopiija"
"varoa (jtak); varoittaa (jstak)","váruhit"
"varoa","varo sitä paikkaa várut dan báikki, váruhit ~ fáruhit, varo syntiä várut (iežat) suttus, varoen váraid, gulul, varo ettei se putoa várut amas gahččat, váruhit, varo etteivät lapset leiki tulitikuilla várut mánáid riššaiguin duhkoraddamis"
"varoen, varovasti","váraid"
"varoittaa (jostakin)","vár'ret (+ lok.), váruhit (+ lok.), váraštit (+ lok.); varoitti tulemasta váruhii ~ vár'rii boahtimis"
"varoittaa (jstak)","váruhit, vár'ret (+lok.), varoitin tulemasta váruhin ~ vár'rejin boahtimis"
"varoittaa",", váruhit"
"varoitus","cuigehus, vár'rehus, , váruhus ~ fáruhus, váruhus"
"varoitus","váruhus"
"varoitus","várˈrehus"
"varojen","ruoktotmáhcahus"
"varojensa mukaisesti","ekonomálaš vejolašvuođaidis siskkobealde"
"varoke (elekt.)","sihkkarasti, suttas"
"varomaton","váruh/eapme (-is), fuollameahttun, várutmeahttun:m, fuollameahttun:m, várutmeahttun"
"varomaton, huolimaton","váraheapme"
"varomaton; hoitamaton, ruokkoamaton","váruheapme"
"varomattomuudesta","várutmeahttunvuođas"
"varomattomuus","várutmeahttunvuohta, fuollameahttunvuohta, fuollameahttunvuohta, várutmeahttunvuohta"
"varovainen","sivvat"
"varovainen","várrugas ~ várrogas, várrugas; tulla varovaisemmaksi váraiduvvat, tulla varovaiseksi jnk suhteen báltut (+lok .), (esim. kulkiessa) sivvat:d#sivvadis"
"varovainen","várrugas"
"varovaisuus","várra"
"varovaisuus","várrugasvuohta, váruheapmi; várrugasvuohta, várra"
"varovasti","sivvadit, várrugasat, váraid"
"varpa, poikkipuu (loudekodan ovessa)","cakŋa"
"varpaanjälki","(juolge)suorbmasadji"
"varpaanpää","(juolge)suorbmageahči, suorbmageahči"
"varpaidenväli","suorbmasárri"
"varpaisillaan","juolgegevrriid (n)alde, juolgegevrriid alde"
"varpekansi (veneessä)","riipu"
"varpu (erit. kanerva)","daŋas"
"varpu","ris'si, (erit. kanerva) daŋas, (katevarpu) duorga, varustaa varvuilla ris'set, kattaa (kodan tms. lattia) varvuilla durget, -kŋ-, daŋas"
"varpunen","ránescihci, Šilljocihci, šilljocihci"
"varpushaukka","Dihtti, dihtti, cihcefál'li"
"varpuslinnut (pl.)","cihcelottit (pl.)"
"varpuspöllö","cihceskuolfi, Cihceskuolfi"
"varreton","nađah/eapme (-is); varreton viikate nađahis liš'šá"
"varsa","vársá"
"varsi (kirveen, viikatteen, kukan, kasvin)","nađđa, saappaan, varrella, varteen, -ta guoras, sukan tms) leagga; (polun tms.) guorra, (piipun, varrelle gurrii, -ta, varressa, (perunan tms.) gálla ~ kálla"
"varsi","tien) guorra; varteen, varrella guoras, (piipun tms.) veardi, vanttuun) readdi, (sukan, nađđa; (perunan tms.) gálla, (polun, varrelle gurrii, varressa"
"varsin","oppa, mihá, on varsin selvää lea oalle čielggas, varsin suuri mihá ~ oalle stuoris, viehka, mihá, (melko) oalle, oalle"
"varsin, melkoisen, koko, huomattavasti, melkoisesti; melkoinen","mihá"
"varsinainen","aitosaš"
"varsinainen","ieš dat; varsinainen vaalipäivä pidetään ... ieš dat válgabeaivi dollojuvvo ..., duohta, albma, aitosaš"
"varsinaisesti","aiddonassii"
"varsinaisesti","aiddostassii"
"varsinaisesti","aitosaččat, aittonassii, minkälainen varsinaisesti goal (~ goale) makkár, mikä varsinaisesti goal (~ goale) mii, albma láhkai; (oikeastaan) rievtti mielde"
"varsinaisesti, oikeastaan mis|sään, -tään","goalge"
"varsinkin","eandalii, áinnas"
"varsinkin; mielellään, toki","áinnas"
"varsoa (tammasta)","guoddit, guaddit"
"värssy","vearsa"
"varta","vásedin, vasten eaktodáhtos"
"vartalo","hápmi; (sanan) mátta, rumaš, gorut, gorut:d, -dd-:g"
"vartavasten","vásedin, eaktodáhtos"
"varteenotettava","deatalaš ~ dehalaš ~ dehálaš, dehálaš, mávssolaš"
"varten (postp.)","várte (S), várás"
"varten","toi sen meitä varten buvttii dan min várás, várás (postp.)"
"varten","várte"
"vartija","fákta"
"vartio","fákten:m; fákta"
"vartioida","fáktet, gozihit"
"vartiointi","fákten:m, fákten, goziheapmi, gozáhus, bearráigeahčču"
"varttaa","nađđadit, nađđadit; pitäisi varttaa tuo viikate galggašii nađđadit dien liššá; varrettuna nađđagasas, varretuksi nađđagassii"
"vartti","kvárta, njealjádasdiibmu, kvárta ~ várta"
"värttinä","snáldu"
"värttinä","snáldu, ="
"värttinäkoukku","snuohkki"
"värttinäluu","dieigu"
"värttinäluu","olgodieigu"
"värttinänkehrä","snáldooaivi"
"värttinävaltimo","giehtaváibmosuotna"
"varttua","čálgat, bajásšaddat (~ šaddat bajás), čálgat; (täyteen ikään) rávásmuvvat, bajásšaddat, (täyteen ikään) rávásmit ~ rávásmuvvat ~ rávásnuvvat ~ rávástuvvat"
"varttua, kasvaa (aikuiseksi), miehistyä, raavastua","rávásmit"
"varttua, kasvaa (aikuiseksi), miehistyä, raavastua","rávásmuvvat"
"varttua, kehittyä (fyysisesti); voimistua (ihmisestä, eläimestä)","čálgat"
"varttua, kehittyä (fyysisesti, äkkiä); (ihmisestä, eläimestä:) voimistua (äkkiä)","čálggihit"
"varttua, kehittyä (fyysisesti; vähän t. nopeasti); (ihmisestä, eläimestä:) voimistua (vähän t. nopeasti)","čálgalit"
"varttunut olio (lapsi, vasa tms.)","čálggat"
"varttunut","čálggas, -lg-(#čálga)"
"varttunut, hyvinkehittynyt","čálggas"
"varuillaan","váraid alde"
"varuskunta","garnisovdna"
"varusmies","bálvalangeatnegas, bálvalusgeatnegas"
"varusmies, asevelvollinen","vearjogeatnegas"
"varustaa (ahkio) kaarilla","fierradit"
"varustaa (astia) kannella, panna kansi (astian) päälle","lohkkádit"
"varustaa (astia) kannella, panna kansi (astian) päälle","lohkuhit"
"varustaa (karvakenkä, -kinnas jne.) sulkamalla, partaalla, sivukappaleella","čulggomastit"
"varustaa (kivääri, höylä) tukilla","stohkkadit"
"varustaa (koira) haittakapulalla, kulpolla, juoksuesteellä","čulket"
"varustaa (komsio) kuomulla","goahkádit"
"varustaa (matkalle)","ráhkkanahttit"
"varustaa (matkalle)","ráhkkanahttit; (varusteilla) rustet, (varusteilla) rustet, ráhkkanahttit"
"varustaa (matkalle)","skihkidit"
"varustaa (naisenlakin etureuna) koristenauhalla","ravdadit"
"varustaa (nuotta) laduksilla","luovdádit"
"varustaa (nuotta) lauduksilla","luvdet"
"varustaa (raitoahkio) viimeisellä kaarella","jiervvastit"
"varustaa (suksi) olaalla, olastaa","oalistit"
"varustaa (tekeillä oleva vene) kaarilla, kaarittaa","rágget"
"varustaa (turvekota) ruoteilla, (vaja) seinälaudoilla (joiden väliin jää rako)","skielttardit"
